Año,Trimestre,Provincia,Accesos,Velocidad
2019,4,CHACO,117903,22.411196118843456
2019,4,CHUBUT,96102,7.043408753199725
2019,4,CORDOBA,806688,26.187772809314133
2019,4,CORRIENTES,113834,18.801310153381237
2019,4,ENTRE RIOS,239030,16.325894745429444
2019,4,FORMOSA,46711,14.75840761276787
2019,4,JUJUY,88881,11.175859362518425
2019,4,LA PAMPA,90399,6.793777619221451
2019,4,LA RIOJA,49002,8.471444185951594
2019,4,MENDOZA,185780,7.916423064915492
2019,4,MISIONES,135813,18.958099092134038
2019,4,NEUQUEN,116445,26.56760779767272
2019,4,RIO NEGRO,127140,15.212577300613496
2019,4,SALTA,172445,18.54260458696976
2019,4,SAN JUAN,64974,6.316630344445471
2019,4,SAN LUIS,108201,13.969722608848347
2019,4,SANTA CRUZ,39370,5.551157607315215
2019,4,SANTA FE,769169,20.117886326672032
2019,4,SANTIAGO DEL ESTERO,103588,9.519193535930803
2019,4,TIERRA DEL FUEGO,40392,7.866236036838978
2019,4,TUCUMAN,198644,30.220069712651778
2020,1,BUENOS AIRES,3718747,45.468369951760636
2020,1,CABA,1354054,59.58894268618534
2020,1,CATAMARCA,38860,27.97865707668554
2020,1,CHACO,120226,24.891484412689433
2020,1,CHUBUT,96920,7.141640445728436
2020,1,CORDOBA,810924,29.406777927401336
2020,1,CORRIENTES,113737,20.073111652320705
2020,1,ENTRE RIOS,230292,18.226245431886476
2020,1,FORMOSA,46276,15.969175598582419
2020,1,JUJUY,94089,11.933280659800829
2020,1,LA PAMPA,89145,7.52196326210107
2020,1,LA RIOJA,48345,8.43245440066191
2020,1,MENDOZA,176960,8.88170301198011
2020,1,MISIONES,133700,20.712336005983545
2020,1,NEUQUEN,122214,28.263241445333595
2020,1,RIO NEGRO,126927,16.73318661908026
2020,1,SALTA,170695,20.86357236005741
2020,1,SAN JUAN,67861,5.996819793401218
2020,1,SAN LUIS,110454,14.3477600086914
2020,1,SANTA CRUZ,38335,6.797202947697926
2020,1,SANTA FE,762556,22.222922235219446
2020,1,SANTIAGO DEL ESTERO,103054,9.762047314999903
2020,1,TIERRA DEL FUEGO,37606,6.446207998723608
2020,1,TUCUMAN,200449,32.59851778756691
2020,2,BUENOS AIRES,3777546,46.06323090837279
2020,2,CABA,1357821,61.393948298045174
2020,2,CATAMARCA,47976,33.0410312239453
2020,2,CHACO,128132,26.9029494349577
2020,2,CHUBUT,108656,7.659641768517155
2020,2,CORDOBA,836468,31.03918709143685
2020,2,CORRIENTES,118866,21.629213063449598
2020,2,ENTRE RIOS,234113,19.523980321468695
2020,2,FORMOSA,47932,16.72427847784361
2020,2,JUJUY,94316,13.3618242503923
2020,2,LA PAMPA,89809,8.28794547317084
2020,2,LA RIOJA,52155,12.12146908254242
2020,2,MENDOZA,201184,9.576558598099252
2020,2,MISIONES,140340,21.557425823001285
2020,2,NEUQUEN,126172,29.63006126557398
2020,2,RIO NEGRO,129486,17.42468534050013
2020,2,SALTA,177762,22.001872301166728
2020,2,SAN JUAN,69777,6.2841916964042595
2020,2,SAN LUIS,113952,14.589921510811573
2020,2,SANTA CRUZ,38869,6.8918436543260695
2020,2,SANTA FE,777932,23.64808078983767
2020,2,SANTIAGO DEL ESTERO,105447,10.169345396265422
2020,2,TIERRA DEL FUEGO,39189,6.999670774962362
2020,2,TUCUMAN,217156,32.658777800291034
2020,3,BUENOS AIRES,3937277,49.01404180732014
2020,3,CABA,1372675,64.88132204054128
2020,3,CATAMARCA,49904,35.401033624559155
2020,3,CHACO,133954,29.66759422637622
2020,3,CHUBUT,130027,7.486722326901336
2020,3,CORDOBA,867472,33.48494953151226
2020,3,CORRIENTES,123391,23.331802481542415
2020,3,ENTRE RIOS,241495,21.346495351870637
2020,3,FORMOSA,49209,17.977228962181712
2020,3,JUJUY,106728,21.654158833670643
2020,3,LA PAMPA,93735,10.628727060329654
2020,3,LA RIOJA,52616,12.646208757792305
2020,3,MENDOZA,207788,10.598438721196606
2020,3,MISIONES,143186,23.07707588730742
2020,3,NEUQUEN,129235,31.851394421015975
2020,3,RIO NEGRO,131467,18.36319853651487
2020,3,SALTA,180846,23.46637893013946
2020,3,SAN JUAN,77327,6.064146598212785
2020,3,SAN LUIS,116565,14.455550431089952
2020,3,SANTA CRUZ,39281,6.89077699142079
2020,3,SANTA FE,802998,25.1893462163044
2020,3,SANTIAGO DEL ESTERO,105492,10.593836726955598
2020,3,TIERRA DEL FUEGO,39655,7.436592459967218
2020,3,TUCUMAN,223876,34.798088959959976
2020,4,BUENOS AIRES,4033257,50.83705966046796
2020,4,CABA,1379530,68.54877542206403
2020,4,CATAMARCA,52396,36.476071875715704
